"","conc.b","conc.a","fail.r","corr.b","corr.a","corr.theta","corr.ltheta.b","corr.ltheta.t","corr.ltheta.m","corr.ltheta.s","corr.ltheta.r","conc.a2"
"NEU_SRR1974629",2.40823355895464,-0.878969819538729,-2.30258509299405,-1.77260801394144,1,0.270107177504547,-4.0542979198232,3.243351699044,4.6212165796429,-0.20251885475694,0.538269630630954,0.15207760969297
"NEU_SRR1974630",1.89892563170611,-0.909929932482421,-2.30258509299405,-1.69810171906052,1,0.319235289116546,-4.0376197080228,2.96140906452335,5.2476963629281,-0.214424695607915,0.686386424934592,0.200418667768159
"NEU_SRR1974631",2.32046518360346,-1.21893487020441,-2.30258509299405,-2.07459679630379,1,0.215108998071904,-4.08189695003414,2.8633668084911,5.23803055125435,-0.248628355445457,0.420589280274995,0.179938226091179
"NEU_SRR1974632",0.184786874605855,-0.179552935730764,-2.30258509299405,-1.18481612554057,1,0.237311600450895,-3.74793657766942,2.75424196092737,5.43372796774532,-0.230407686877675,0.609462732445938,0.0963604596048695
"NEU_SRR1974633",5.40573719579639,-1.73322784334493,-2.30258509299405,-2.16584095924883,1,0.214497835482529,-3.94365103885017,3.7288518628511,5.0460061747499,-0.185493341767796,0.629796224207397,0.183332246783824
"NEU_SRR1974634",1.03425232338497,-0.542779599723856,-2.30258509299405,-1.34836918617996,1,0.304066867313023,-4.14023170655207,6.5533015075092,0.841621962571257,-0.108718406796567,0.634373709067368,0.140664724997269
"NEU_SRR1974635",-0.563525859369671,-0.0496156126790428,-2.30258509299405,-1.27595108271221,1,0.193449668006069,-0.777025158223881,2.605301596029,9.38757215505528,-0.287215875420558,11.6006586207902,0.0909387670489083
"NEU_SRR1974636",-0.136107510077727,-0.382713170032755,-2.30258509299405,-1.82305389958699,1,0.162571648655836,-1.47226006310291,2.64367374740087,10.172576030663,-0.286703351080411,10.6389877730401,0.0944508924156767
"NEU_SRR1974638",-1.20030498556118,0.0242517852846183,-2.30258509299405,-1.22693974082194,1,0.169198107792509,-0.82183465888413,2.46456268285926,9.99796219624174,-0.336581864529952,20,0.0801497739904429
"NEU_SRR1974639",-0.781201449938871,0.0375747897809728,-2.30258509299405,-1.22859230239108,1,0.200934571949019,-0.102792145504242,2.40291229067428,7.79607365679689,-0.478682332400939,20,0.0740314236495358
