"","conc.b","conc.a","fail.r","corr.b","corr.a","corr.theta","corr.ltheta.b","corr.ltheta.t","corr.ltheta.m","corr.ltheta.s","corr.ltheta.r","conc.a2"
"NEU_SRR1974624",2.61088948524042,-1.17324397198772,-2.30258509299405,-1.78048786812335,1,0.274228537818811,-2.3702165188293,3.20003938365129,11.2879293413858,-0.193807655010528,10.4155604276596,0.18528845064475
"NEU_SRR1974625",-3.57981677403534,-0.0756392109737225,-2.30258509299405,-0.722234650834372,1,0.0806490641335224,-0.693086099259464,2.47753346621915,4.89312177732566,-2.30749812757981,0.1,0.0604746308053193
"NEU_SRR1974626",0.798919969547067,-0.721118592231681,-2.30258509299405,-1.92383294230943,1,0.184355540189443,-1.43707126696933,2.62313331032665,10.5970796915263,-0.295580931144336,15.9155676221643,0.134266209786017
"NEU_SRR1974627",2.07415150824533,-0.828054526087925,-2.30258509299405,-2.11819041324642,1,0.20894670236947,-5.2900038100746,2.79647377630031,6.49534467650257,-0.239478532354031,0.592192766388166,0.140376783402064
"NEU_SRR1974628",2.75164914621713,-1.37498632936951,-2.30258509299405,-1.857315678279,1,0.235542832100932,-4.1001202660115,3.05006382244057,6.12434870720417,-0.206731320164675,0.756018231612284,0.228058131451511
"NEU_SRR1974629",2.35202742109467,-0.815799381545181,-2.30258509299405,-1.77532968185063,1,0.268106688094509,-4.06141717349385,3.35393725619039,5.08449403750313,-0.18620202623899,0.645775901976921,0.143141419481882
"NEU_SRR1974630",2.08459228582952,-1.01410893562332,-2.30258509299405,-1.69937096014011,1,0.318627640494463,-4.45259715192005,3.06351884174594,5.37451025323382,-0.200560087398085,0.68015055073062,0.215569172703374
"NEU_SRR1974631",2.37659809465309,-1.22386898659558,-2.30258509299405,-2.07677778090647,1,0.213275385882607,-4.0271028038171,2.87157610118349,5.28221370408362,-0.244905068574793,0.430892603003611,0.179074283637683
"NEU_SRR1974632",0.157321070292643,-0.153950147734961,-2.30258509299405,-1.18564208720279,1,0.236935106349774,-3.11215797904754,2.76688589399975,5.40593766538199,-0.234715064206986,0.691754237556174,0.092972705222158
"NEU_SRR1974633",5.42992094382848,-1.73361260427176,-2.30258509299405,-2.1718444789642,1,0.213100126192734,-19.0008162059783,5.7039412071852,19.6534279719563,-0.068454519134115,2.18821411079455,0.184237506537798
"NEU_SRR1974634",1.88122827633176,-0.931079273512655,-2.30258509299405,-1.35068488097174,1,0.306545520652321,-2.91019347712219,3.12579180304842,2.67895635631264,-0.244280410866489,0.386997607226064,0.184251524370764
"NEU_SRR1974635",-0.567743857830397,-0.0291399412284886,-2.30258509299405,-1.27633112088961,1,0.19290830801592,-0.714427201682964,2.59048773879584,10.0039063267924,-0.291336416453236,18.4536990353542,0.0875245017078185
"NEU_SRR1974636",-0.0886141948658897,-0.386734374072252,-2.30258509299405,-1.82231447267206,1,0.161597888949719,-1.36811707856646,2.63435607275348,11.0365770919993,-0.289879909269188,20,0.0934316499185632
"NEU_SRR1974638",-1.18939670041925,0.0309420114014582,-2.30258509299405,-1.22876552458118,1,0.168513645291063,-0.841008373335337,2.47072237154778,10.030251050513,-0.335062178052592,20,0.0789917579521369
"NEU_SRR1974639",-0.779716598864978,0.0570453263596349,-2.30258509299405,-1.22548550775606,1,0.201288985764187,-0.142621899571165,2.41925118014047,7.99091449730298,-0.451612341091504,20,0.0702675404258691
"NEU_SRR1974640",1.6583130185298,-0.771377082395498,-2.30258509299405,-2.08737683832335,1,0.199435266528637,-4.2677587308364,2.79434499212799,5.60188229122238,-0.242024522746527,0.43691061667247,0.124254128328737
"NEU_SRR1974642",1.85489579454653,-1.01739024493818,-2.30258509299405,-2.04759002182869,1,0.184754450308171,-4.50105927782043,2.9049343342656,5.45513926945394,-0.231540712438674,0.414191376907715,0.148569618822254
"NEU_SRR1974643",1.25586036041541,-0.100956753587134,-2.30258509299405,-1.53846367658362,1,0.308477667800585,-3.91696689409847,3.24834588898669,5.32346855870036,-0.184363156017339,0.787703493137273,0.0827221332947255
"NEU_SRR1974645",4.06960116758529,-1.36404853760268,-2.30258509299405,-2.05031304002385,1,0.251341056732565,-4.01665169564803,3.67326437688488,7.08667559683879,-0.170489068038722,1.27276776346065,0.200928720416175
"NEU_SRR1974646",-1.95963907511017,-0.0846018299376496,-2.30258509299405,-0.652422157286619,1,0.167810530448085,-0.101569981520166,2.36239612757027,7.36781364698511,-0.547313858067602,20,0.0681309383444915
